ID,DateCreated,Gender,Marital,Faculty,Department,YearOfEmployment,AcademicRank,Campus,NumChildren,ChildAgeInterval,ChildSeeking,ChildNumberSeeking,How would you rate your current workload?,About how many hours do you work in a typical week?,How satisfied are you with the distribution of the teaching workload in your department?,How satisfied are you with your teaching schedule?,How satisfied are you with the qualifications of the students admitted to your departmental undergraduate programs?,How satisfied are you with the qualifications of the students admitted to your departmental graduate programs?,How satisfied are you with the number of students in the classes you teach?,How satisfied are you with the number of students admitted to your departmental graduate programs?,Have you served in any administrative position at UOB?,"If yes, in which of the following administrative positions have you served?","If you marked what applies in question 10, did you receive credit load release for your administrative service?",How often do you express your voice in decisions that impact your department or Faculty?,How often do you think you could share your views in meetings?,How satisfied are you in your interactions with your Faculty?s administration?,How satisfied are you in your interactions with your colleagues?,"When you are at work, how often do you feel your work is meaningful?","When you are at work, how often do you receive constructive feedback on your work performance?","When you are at work, how often do you work other than your primary duty?","When you are at work, how often do you do work that is not formally recognized by your department?","Are you satisfied with the ratios allocated by your Faculty to teaching, research and university service?",How satisfied are you with the climate in your department?,How overall are you satisfied with your work?,"When you are at work, how often do you feel you have the academic resources you need to do your job well?",How often do you express your voice in how departmental resources are distributed?,How satisfied are you with the teaching facilities at your Faculty?,How satisfied are you with UOB?s provision of educational technology?,How satisfied are you with the student laboratory space?,How satisfied are you with the student laboratory equipment and technology?,How satisfied are you with the Course Evaluation Survey (CES) as a course evaluation tool?,How satisfied are you with your office space?,How satisfied are you with the services and resources provided by the library?,"If you reside on the main campus, how satisfied are you with the housing accommodations?",How satisfied are you with the availability of on campus parking?,To what extent are you satisfied with the performance of the following administrative offices? -- Admissions,To what extent are you satisfied with the performance of the following administrative offices? -- Registrar,To what extent are you satisfied with the performance of the following administrative offices? -- Informational Technology,To what extent are you satisfied with the performance of the following administrative offices? -- Procurement,To what extent are you satisfied with the performance of the following administrative offices? -- Media and Communications,To what extent are you satisfied with the performance of the following administrative offices? -- Human Resources,To what extent are you satisfied with the performance of the following administrative offices? -- Comptroller Office,To what extent are you satisfied with the performance of the following administrative offices? -- Health Center Infirmary,To what extent are you satisfied with the performance of the following administrative offices? - office of Student Affairs,To what extent are you satisfied with the performance of the following administrative offices? -- Fitness Center,"When you are at work, how often do you feel you have the opportunities to learn and grow as a professional?",How often do you feel that UOB provides you with professional development opportunities?,"If you feel that UOB offers you professional development opportunities, with how many have you been provided in the past 3 academic years?",How often do you feel that your Faculty or Department clearly communicates the expectations for your career advancement?,Do you feel supported by your Faculty administration in your career growth?,How satisfied are you with the university policy and procedures for promotion?,Do you feel that the submission procedure for internal Research Grant Applications (RGAs) is clear?,Do you feel that the process of obtaining UOB research funding is transparent?,Do you think that UOB allocation of funds for research is sufficient?,Do you think the time allocated in your workload to conduct research is sufficient?,Do you think the physical resources/facilities to conduct research are adequate at UOB?,Do you feel valued and appreciated by your Faculty for your work?,Were you involved in the formulation of your Faculty Strategic Plan?,Are you a member of any Faculty Committee?,Are you aware of the accreditation initiatives at your Faculty?,Do you feel that your Faculty or Department does well in mentoring new faculty members?,Are you aware of your Faculty bylaws?,Do you feel treated fairly by your Faculty?,Do you feel treated with equity by your Department or Faculty?,Do you feel that you can express any complaint or grievance freely to your Faculty?,Are you satisfied with your social relationships with other faculty members?,Do you feel your UOB employment is secure?,How often do you feel that your Faculty or Department consistently informs you of important and new institutional policies?,How often do you feel that the University Senate conveys your voice to the university administration?,"Are you aware of UOB policies on research ethics, equity, diversity & inclusion, sexual harassment, ethical use of informational technology, and use of social media that are posted on the website?","If you answer by yes to question 59, do you feel that these policies are satisfactory?",How satisfied are you with your current academic rank?,How satisfied are you with the duration of your contract?,"In general, how satisfied are you with your pay?","In general, how satisfied are you with your benefits as an employee?",How satisfied are you with the benefits for health insurance?,How satisfied are you with the benefits for children schooling?,Do you use UOB?s transportation accommodations?,"If you reply by yes to question 67, how satisfied are you with UOB?s transportation system?",How likely are you to leave UOB in the next 12 months?," If you are likely to leave, to what extent have you considered the following reasons? -- Salary increase","If you are likely to leave, to what extent have you considered the following reasons? -- Opportunities for career advancement","If you are likely to leave, to what extent have you considered the following reasons? --Seeking better benefits","If you are likely to leave, to what extent have you considered the following reasons? -- Opportunity for a non-academic job","If you are likely to leave, to what extent have you considered the following reasons? -- Improvement of family employment situation","If you are likely to leave, to what extent have you considered the following reasons? -- Seeking a better work environment","If you are likely to leave, to what extent have you considered the following reasons? -- Planning for retirement","If you are likely to leave, to what extent have you considered the following reasons? -- Health issues","If you are likely to leave, to what extent have you considered the following reasons? -- Family Relocation","If you are likely to leave, to what extent have you considered the following reasons? -- Travel abroad","If you are likely to leave, to what extent have you considered the following reasons? -- Seeking an academic position at an institution of better reputation",To what extent would you stay at UOB if the following features are met? -- Salary Increase,To what extent would you stay at UOB if the following features are met? -- Salary pay in USD,To what extent would you stay at UOB if the following features are met? -- Increase in children? schooling fees,Provision of free medical insurance,To what extent would you stay at UOB if the following features are met? -- Better academic governance at Department/Faculty/university,To what extent would you stay at UOB if the following features are met? -- Timely university communications,To what extent would you stay at UOB if the following features are met? -- Provision of opportunities for career advancement,How satisfied are you at UOB?,Would you encourage current young faculty recruits to renew their contracts at UOB?,Would you enroll your children as students at UOB?,How satisfied are you with the academic qualifications of young faculty recruits at UOB?,Please use this space to share any thoughts about your experience as a faculty member at UOB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11/14/2025,Male,Married,Issam Fares Faculty of Technology,Civil & Construction,2016-2020,Lecturer,Akkar,1,13-18,Yes,3,Just right,25-35 hours,Extremely satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Not at all satisfied,Somewhat satisfied,Yes. Served prior to the past 5 academic years.,NA,Extremely often,Very often,Somewhat satisfied,Very satisfied,Department Chairperson,Very often,Very often,Sometimes,Rarely,Very satisfied,Somewhat satisfied,Somewhat satisfied,Sometimes,Very often,Somewhat satisfied,Very satisfied,Somewhat satisfied,Little satisfied,Somewhat satisfied,Somewhat satisfied,Little satisfied,Very dissatisfied,Somewhat dissatisfied,To a great extent,To some extent,Not at all,To some extent,To a great extent,To some extent,Not at all,To a great extent,To some extent,Not at all,Sometimes,Sometimes,3,Rarely,Yes,Somewhat dissatisfied,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Sometimes,Rarely,Yes,Yes,Somewhat satisfied,Little satisfied,Not at all satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Yes,Neither satisfied nor dissatisfied,Somewhat likely,To a great extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,To a great extent,To some extent,To some extent,To a great extent,To a great extent,To some extent,To a great extent,To some extent,To a great extent,To a great extent,To some extent,Not at all,Somewhat dissatisfied,Yes,Yes,Somewhat dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11/14/2025,Male,Married,Faculty of Medicine and Medical Sciences,Biomedical Sciences,2000-2005,Assistant Professor,Al Kurah,3,Mixed,No,NA,Just right,25-35 hours,Very satisfied,Little satisfied,Somewhat satisfied,Somewhat satisfied,Little satisfied,Little satisfied,Yes. Serving currently.,Yes,Sometimes,Sometimes,Very satisfied,Extremely satisfied,Associate Dean/ Assistant Dean,Extremely often,Sometimes,Rarely,Rarely,Very satisfied,Very satisfied,Somewhat satisfied,Extremely often,Rarely,Extremely satisfied,Extremely satisfied,Very satisfied,Very satisfied,Little satisfied,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Very satisfied,NA,To a great extent,To a great extent,To some extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,To a great extent,Very often,Sometimes,NA,Very often,Yes,NA,NA,NA,NA,Yes,Yes,NA,No,No,Yes,NA,No,Yes,NA,NA,NA,NA,NA,Very often,NA,NA,Not at all satisfied,Very satisfied,Little satisfied,Little satisfied,Very satisfied,Very dissatisfied,No,NA,NA,To some extent,To some extent,To some extent,To some extent,Not at all,Not at all,To some extent,Not at all,Not at all,Not at all,To some extent,To a great extent,To a great extent,To some extent,To some extent,Not at all,Not at all,To some extent,Somewhat satisfied,Yes,No,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11/14/2025,Female,Single,Faculty of Health Sciences,Public Health and Development Sciences,2022,Associate Professor,Dekweneh,NA,NA,No,NA,Just right,40-50 hours,Very satisfied,Extremely satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Yes. Serving currently.,Yes,Very often,Very often,Very satisfied,Very satisfied,Department Chairperson,Very often,Very often,Rarely,Very often,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very often,Sometimes,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,NA,Somewhat satisfied,To some extent,To some extent,To a great extent,To some extent,To some extent,To some extent,To some extent,To some extent,To a great extent,To some extent,Sometimes,Sometimes,2,Sometimes,Yes,Neither satisfied nor dissatisfied,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Very often,Rarely,Yes,Yes,Very satisfied,Little satisfied,Somewhat satisfied,Little satisfied,Not applicable,Not applicable,No,NA,Somewhat unlikely,To a great extent,NA,NA,NA,NA,NA,NA,NA,To a great extent,To a great extent,NA,To a great extent,To a great extent,NA,To a great extent,To some extent,To some extent,To a great extent,Somewhat satisfied,Yes,Yes,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11/14/2025,Male,Single,Faculty of Medicine and Medical Sciences,Biomedical Sciences,2000-2005,Assistant Professor,Al Kurah,NA,NA,No,NA,Just right,40-50 hours,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Never,NA,Very often,Very often,Very satisfied,Extremely satisfied,NA,Very often,Very often,Sometimes,Sometimes,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very often,Very often,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,NA,Very satisfied,To some extent,To a great extent,To some extent,To some extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,To a great extent,Sometimes,Sometimes,1,Rarely,Yes,Somewhat satisfied,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Very often,Yes,Yes,Somewhat satisfied,Somewhat satisfied,Little satisfied,Little satisfied,Somewhat satisfied,Not applicable,Yes,Somewhat satisfied,Very likely,To a great extent,To a great extent,NA,Not at all,Not at all,To some extent,Not at all,Not at all,Not at all,To some extent,To some extent,To a great extent,To a great extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,Neither satisfied nor dissatisfied,Yes,Yes,Neither satisfied nor dissatisfied,"I have several concerns regarding my career future at UOB, summarized as follows:
?	Insufficient communication between the administration and faculty members. Information often circulates as rumors rather than official updates. It would be beneficial to have at least one annual town hall meeting with the President.
?	Receiving salary payments in interrupted, partial installments
?	Erosion of the indemnity fund for faculty members appointed before 2020, as neither UOB nor the faculty are actively investing or protecting its value.
?	Not providing faculty members the option to independently decide whether they want to collectively invest their post-2020 indemnity, without the administration?s involvement.
?	Slow response to maintenance requests for lab spaces.
?	Lack of a faculty syndicate, which could help regulate and formalize the relationship between faculty members and the administration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11/14/2025,Female,Married,Faculty of Engineering,Civil Engineering,2011-2015,Associate Professor,Al Kurah,3,Mixed,No,NA,Just right,40-50 hours,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Never,No,Very often,Very often,Extremely satisfied,Very satisfied,NA,Extremely often,Very often,Extremely often,Extremely often,Somewhat satisfied,Very satisfied,Very satisfied,Very often,Very often,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely satisfied,Extremely satisfied,NA,Very satisfied,To a great extent,To a great extent,To some extent,To some extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,To a great extent,Extremely often,Extremely often,More than 3,Extremely often,Yes,Somewhat satisfied,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Extremely satisfied,Extremely satisfied,Little satisfied,Not at all satisfied,Somewhat satisfied,Very dissatisfied,No,NA,Very unlikely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Yes,Yes,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11/14/2025,Male,Married,Acad‚mie Libanaise des Beaux-Arts,Interior Architecture & Design,<2000,Assistant Professor,Al Kurah,1,19+,No,NA,Just right,25-35 hours,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Yes. Served prior to the past 5 academic years.,No,Sometimes,Sometimes,Very satisfied,Very satisfied,Department Chairperson,Very often,Sometimes,Sometimes,Rarely,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,Sometimes,Never,Little satisfied,Little satisfied,Little satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,NA,NA,NA,NA,NA,Not at all,Not at all,NA,NA,NA,Rarely,Rarely,NA,Never,No,Somewhat dissatisfied,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Rarely,NA,NA,Little satisfied,Little satisfied,Little satisfied,Little satisfied,NA,NA,NA,NA,Neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Yes,Yes,Neither satisfied nor dissatisfied,"No questions are being raised regarding transparency!
There is a lack of transparency across all departments, starting from the president to the Provost, HR, and Comptroller?s offices, when it comes to salaries, promotions, and rankings.
The ?when, why, and how? remain unanswered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11/14/2025,Male,Married,Faculty of Arts and Sciences,Physics,<2000,Associate Professor,Al Kurah,4,Mixed,Yes,2,Too heavy,25-35 hours,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Yes. Serving currently.,Yes,Very often,Very often,Extremely satisfied,Very satisfied,"Associate Dean/ Assistant Dean, Department Chairperson",Very often,Very often,Very often,Sometimes,Somewhat satisfied,Very satisfied,Very satisfied,Very often,Sometimes,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Little satisfied,Extremely satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,To some extent,To a great extent,To some extent,To some extent,To some extent,To some extent,To some extent,To a great extent,To a great extent,To some extent,Sometimes,Sometimes,2,Sometimes,Yes,Neither satisfied nor dissatisfied,Yes,Yes,No,No,No,Yes,Yes,Yes,Non Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,Yes,Somewhat satisfied,Very unlikely,To some extent,Not at all,To some extent,Not at all,Not at all,Not at all,To some extent,Not at all,Not at all,Not at all,Not at all,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To some extent,Very satisfied,Yes,Yes,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11/14/2025,Female,Married,Issam Fares Faculty of Technology,Aircraft Maintenance,2011-2015,Lecturer,Al Kurah,2,0-5,No,NA,Just right,10-20 hours,Somewhat satisfied,Very satisfied,Little satisfied,Little satisfied,Somewhat satisfied,Not at all satisfied,Never,NA,Sometimes,Very often,Somewhat satisfied,Somewhat satisfied,NA,Very often,Rarely,Very often,Rarely,Very dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Sometimes,Very often,Little satisfied,Little satisfied,Little satisfied,Little satisfied,Not at all satisfied,Not at all satisfied,Somewhat satisfied,NA,Somewhat satisfied,Not at all,To some extent,To some extent,To some extent,Not at all,To some extent,To some extent,To a great extent,To some extent,To some extent,Rarely,Never,NA,Never,No,Very dissatisfied,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Sometimes,Never,No,NA,Little satisfied,Somewhat satisfied,Not at all satisfied,Not at all satisfied,Not applicable,Very dissatisfied,No,NA,Neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,To a great extent,To a great extent,To a great extent,Not at all,To a great extent,To a great extent,To a great extent,Neither satisfied nor dissatisfied,Yes,No,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11/14/2025,Female,Married,Faculty of Arts and Sciences,History,<2000,Professor,Al Kurah,3,0-5,Yes,3,Just right,25-35 hours,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Little satisfied,Not at all satisfied,Yes. Serving currently.,Yes,Sometimes,Sometimes,Very satisfied,Very satisfied,Academic Director,Very often,Sometimes,Rarely,Sometimes,Very dissatisfied,Very satisfied,Very dissatisfied,Very often,Very often,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Little satisfied,Very satisfied,Very satisfied,NA,Very satisfied,To a great extent,To a great extent,To some extent,To a great extent,To some extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,Very often,Very often,2,Sometimes,Yes,Somewhat satisfied,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very often,Very often,Yes,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not applicable,Very dissatisfied,Yes,Somewhat satisfied,Neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Yes,Yes,Somewhat satisfied,I have accomplished most of my academic career at Balamand. I am very proud for the opportunities to write 4 books and many articles and for the participation  and the organisation of many international conferences. During my teaching time I was very happy to communicate useful knowledge and culture to new generation. I   am very thankful for the trust  I get to work with the valuable cultural heritage  of our church.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11/14/2025,Male,Married,Faculty of Arts and Sciences,Psychology,<2000,Lecturer,Al Kurah,1,19+,No,NA,Just right,40-50 hours,Very satisfied,Very satisfied,Very satisfied,NA,Somewhat satisfied,NA,Yes. Serving currently.,Yes,Very often,Extremely often,Extremely satisfied,Extremely satisfied,Dean,Extremely often,Very often,Extremely often,Rarely,Neither satisfied nor dissatisfied,Extremely satisfied,Very satisfied,Very often,Extremely often,Very satisfied,Extremely satisfied,NA,NA,Somewhat satisfied,Extremely satisfied,Extremely satisfied,NA,Very satisfied,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,Sometimes,Sometimes,More than 3,Very often,Yes,Neither satisfied nor dissatisfied,Yes,Yes,No,Yes,Yes,Yes,No,No,Non Applicable,Yes,Yes,Yes,Yes,No,Yes,No,Very often,Sometimes,Yes,Yes,Very satisfied,Little satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No,NA,Somewhat unlikely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,To a great extent,Very satisfied,Yes,Yes,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
